Subspace,Breakdown,Measure,Max Avg Value,Breakdown Value
*;*;*;,Year,Sales,91726.56364,2007/1/1
*;*;*;,Brand,Sales,177257.04,Honda
*;*;*;,Category,Sales,149148.9744,Midsize
2007/1/1;*;*;,Brand,Sales,206827.2,Honda
2007/1/1;*;*;,Category,Sales,179617.4286,Midsize
2008/1/1;*;*;,Brand,Sales,203119.6,Honda
2008/1/1;*;*;,Category,Sales,150622,Midsize
2009/1/1;*;*;,Brand,Sales,164125.4,Honda
2009/1/1;*;*;,Category,Sales,131875,Midsize
2010/1/1;*;*;,Brand,Sales,163012.6,Honda
2010/1/1;*;*;,Category,Sales,142726.25,Midsize
2011/1/1;*;*;,Brand,Sales,149200.4,Honda
2011/1/1;*;*;,Category,Sales,144712.75,Midsize
*;BMW;*;,Year,Sales,34151.22222,2007/1/1
*;BMW;*;,Category,Sales,99222.83333,Compact
*;Ford;*;,Year,Sales,117825.1818,2011/1/1
*;Ford;*;,Category,Sales,189015.6,Midsize
*;GMC;*;,Year,Sales,70776.66667,2007/1/1
*;GMC;*;,Category,Sales,83114.4,Pickup
*;Honda;*;,Year,Sales,206827.2,2007/1/1
*;Honda;*;,Category,Sales,314133.4,Midsize
*;Hyundai;*;,Year,Sales,117909.2,2011/1/1
*;Hyundai;*;,Category,Sales,161107.4,Midsize
*;Mazda;*;,Year,Sales,47051.4,2007/1/1
*;Mazda;*;,Category,Sales,107096.8,Compact
*;Toyota;*;,Year,Sales,188699.4286,2007/1/1
*;Toyota;*;,Category,Sales,380572.6,Midsize
*;Volkswagen;*;,Year,Sales,19224.14286,2011/1/1
*;Volkswagen;*;,Category,Sales,22096.2,Compact
*;*;Compact;,Year,Sales,118714.4,2011/1/1
*;*;Compact;,Brand,Sales,175521.4,Ford
*;*;Fullsize;,Year,Sales,47950.66667,2007/1/1
*;*;Fullsize;,Brand,Sales,52200.7,Ford
*;*;Midsize;,Year,Sales,179617.4286,2007/1/1
*;*;Midsize;,Brand,Sales,380572.6,Toyota
*;*;Sporty;,Year,Sales,41625,2007/1/1
*;*;Sporty;,Brand,Sales,87330.8,Ford
*;*;Subcompact;,Year,Sales,109537.5556,2008/1/1
*;*;Subcompact;,Brand,Sales,184926.2,Toyota
*;*;SUV;,Year,Sales,73834.77273,2007/1/1
*;*;SUV;,Brand,Sales,113207,Honda
*;*;Pickup;,Year,Sales,100614,2007/1/1
*;*;Pickup;,Brand,Sales,83114.4,GMC
*;*;MPV;,Year,Sales,22021,2008/1/1
*;*;MPV;,Brand,Sales,17812.8,Mazda
2007/1/1;BMW;*;,Category,Sales,98316,Compact
2007/1/1;Ford;*;,Category,Sales,173213,Compact
2007/1/1;GMC;*;,Category,Sales,114565.5,Pickup
2007/1/1;Honda;*;,Category,Sales,392231,Midsize
2007/1/1;Hyundai;*;,Category,Sales,145568,Midsize
2007/1/1;Mazda;*;,Category,Sales,120291,Compact
2007/1/1;Toyota;*;,Category,Sales,473108,Midsize
2007/1/1;Volkswagen;*;,Category,Sales,31021,Subcompact
2008/1/1;BMW;*;,Category,Sales,112464,Compact
2008/1/1;Ford;*;,Category,Sales,195823,Compact
2008/1/1;GMC;*;,Category,Sales,91759,Pickup
2008/1/1;Honda;*;,Category,Sales,372789,Midsize
2008/1/1;Hyundai;*;,Category,Sales,117357,Midsize
2008/1/1;Mazda;*;,Category,Sales,109957,Compact
2008/1/1;Toyota;*;,Category,Sales,436617,Midsize
2008/1/1;Volkswagen;*;,Category,Sales,26477,Subcompact
2009/1/1;BMW;*;,Category,Sales,90960,Compact
2009/1/1;Ford;*;,Category,Sales,180671,Midsize
2009/1/1;GMC;*;,Category,Sales,60974.5,Pickup
2009/1/1;Honda;*;,Category,Sales,287492,Midsize
2009/1/1;Hyundai;*;,Category,Sales,120028,Midsize
2009/1/1;Mazda;*;,Category,Sales,96466,Compact
2009/1/1;Toyota;*;,Category,Sales,356824,Midsize
2009/1/1;Volkswagen;*;,Category,Sales,17505,Midsize
2010/1/1;BMW;*;,Category,Sales,100910,Compact
2010/1/1;Ford;*;,Category,Sales,219219,Midsize
2010/1/1;GMC;*;,Category,Sales,68893,Pickup
2010/1/1;Honda;*;,Category,Sales,282530,Midsize
2010/1/1;Hyundai;*;,Category,Sales,196623,Midsize
2010/1/1;Mazda;*;,Category,Sales,106353,Compact
2010/1/1;Toyota;*;,Category,Sales,327804,Midsize
2010/1/1;Volkswagen;*;,Category,Sales,28286,Compact
2011/1/1;BMW;*;,Category,Sales,94371,Compact
2011/1/1;Ford;*;,Category,Sales,248067,Midsize
2011/1/1;GMC;*;,Category,Sales,79380,Pickup
2011/1/1;Honda;*;,Category,Sales,235625,Midsize
2011/1/1;Hyundai;*;,Category,Sales,225961,Midsize
2011/1/1;Mazda;*;,Category,Sales,102417,Compact
2011/1/1;Toyota;*;,Category,Sales,308510,Midsize
2011/1/1;Volkswagen;*;,Category,Sales,34706,Compact
2007/1/1;*;Compact;,Brand,Sales,173213,Ford
2007/1/1;*;Fullsize;,Brand,Sales,64539.5,Ford
2007/1/1;*;Midsize;,Brand,Sales,473108,Toyota
2007/1/1;*;Sporty;,Brand,Sales,134626,Ford
2007/1/1;*;Subcompact;,Brand,Sales,228094.5,Toyota
2007/1/1;*;SUV;,Brand,Sales,130956.25,Ford
2007/1/1;*;Pickup;,Brand,Sales,114565.5,GMC
2007/1/1;*;MPV;,Brand,Sales,13717,Mazda
2008/1/1;*;Compact;,Brand,Sales,195823,Ford
2008/1/1;*;Fullsize;,Brand,Sales,50612,Ford
2008/1/1;*;Midsize;,Brand,Sales,436617,Toyota
2008/1/1;*;Sporty;,Brand,Sales,91251,Ford
2008/1/1;*;Subcompact;,Brand,Sales,226667.5,Toyota
2008/1/1;*;SUV;,Brand,Sales,111863,Honda
2008/1/1;*;Pickup;,Brand,Sales,91759,GMC
2008/1/1;*;MPV;,Brand,Sales,22021,Mazda
2009/1/1;*;Compact;,Brand,Sales,160433,Ford
2009/1/1;*;Fullsize;,Brand,Sales,39436,Ford
2009/1/1;*;Midsize;,Brand,Sales,356824,Toyota
2009/1/1;*;Sporty;,Brand,Sales,66623,Ford
2009/1/1;*;Subcompact;,Brand,Sales,180308.5,Toyota
2009/1/1;*;SUV;,Brand,Sales,103049,Honda
2009/1/1;*;Pickup;,Brand,Sales,60974.5,GMC
2009/1/1;*;MPV;,Brand,Sales,18488,Mazda
2010/1/1;*;Compact;,Brand,Sales,172421,Ford
2010/1/1;*;Fullsize;,Brand,Sales,51290.5,Ford
2010/1/1;*;Midsize;,Brand,Sales,327804,Toyota
2010/1/1;*;Sporty;,Brand,Sales,73716,Ford
2010/1/1;*;Subcompact;,Brand,Sales,157286,Honda
2010/1/1;*;SUV;,Brand,Sales,108980.5,Honda
2010/1/1;*;Pickup;,Brand,Sales,68893,GMC
2010/1/1;*;MPV;,Brand,Sales,15683,Mazda
2011/1/1;*;Compact;,Brand,Sales,186361,Hyundai
2011/1/1;*;Fullsize;,Brand,Sales,55125.5,Ford
2011/1/1;*;Midsize;,Brand,Sales,308510,Toyota
2011/1/1;*;Sporty;,Brand,Sales,70438,Ford
2011/1/1;*;Subcompact;,Brand,Sales,140235,Honda
2011/1/1;*;SUV;,Brand,Sales,138049.5,Ford
2011/1/1;*;Pickup;,Brand,Sales,79380,GMC
2011/1/1;*;MPV;,Brand,Sales,19155,Mazda
*;BMW;Compact;,Year,Sales,112464,2008/1/1
*;BMW;Fullsize;,Year,Sales,14773,2007/1/1
*;BMW;Midsize;,Year,Sales,51491,2011/1/1
*;BMW;Sporty;,Year,Sales,9565,2007/1/1
*;BMW;Subcompact;,Year,Sales,13132,2010/1/1
*;BMW;SUV;,Year,Sales,24844,2011/1/1
