Subspace,Breackdown,Sig,Impact,Type,Breackdown Top 1 Value
*;*;*,Year,0.585296747,1,Point,2007/1/1
*;*;*,Brand,0.007815716,1,Point,Ford
*;*;*,Category,2.13E-28,1,Point,SUV
2007/1/1;*;*,Brand,0.36684577,0.230134768,Point,Toyota
2007/1/1;*;*,Category,0.008483136,0.230134768,Point,SUV
2008/1/1;*;*,Brand,0.390481798,0.203949654,Point,Toyota
2008/1/1;*;*,Category,0.01957832,0.203949654,Point,SUV
2009/1/1;*;*,Brand,0.39598682,0.172662168,Point,Toyota
2009/1/1;*;*,Category,0.028364573,0.172662168,Point,SUV
2010/1/1;*;*,Brand,0.413839167,0.189683286,Point,Ford
2010/1/1;*;*,Category,0.020041372,0.189683286,Point,SUV
2011/1/1;*;*,Brand,0.477066609,0.203570123,Point,Ford
2011/1/1;*;*,Category,0.031503799,0.203570123,Point,SUV
*;BMW;*,Year,0.595748503,0.05569788,Point,2007/1/1
*;BMW;*,Category,0.572878679,0.05569788,Point,Compact
*;Ford;*,Year,0.583744284,0.250419629,Point,2011/1/1
*;Ford;*,Category,0.535804445,0.250419629,Point,SUV
*;GMC;*,Year,0.587479794,0.077093645,Point,2007/1/1
*;GMC;*,Category,0.656242158,0.077093645,Point,SUV
*;Honda;*,Year,0.581712133,0.20214729,Point,2007/1/1
*;Honda;*,Category,0.521224868,0.20214729,Point,Subcompact
*;Hyundai;*,Year,0.593446195,0.101614706,Point,2011/1/1
*;Hyundai;*,Category,0.5468534,0.101614706,Point,Midsize
*;Mazda;*,Year,0.594379332,0.046436218,Point,2007/1/1
*;Mazda;*,Category,0.5381297,0.046436218,Point,Compact
*;Toyota;*,Year,0.586012739,0.240949042,Point,2007/1/1
*;Toyota;*,Category,0.548246185,0.240949042,Point,Midsize
*;Volkswagen;*,Year,0.594793164,0.025641591,Point,2011/1/1
*;Volkswagen;*,Category,0.593809322,0.025641591,Point,Midsize
*;*;Compact,Year,0.588007572,0.124133647,Point,2011/1/1
*;*;Compact,Brand,0.484252248,0.124133647,Point,Ford
*;*;Fullsize,Year,0.595065376,0.026542658,Point,2007/1/1
*;*;Fullsize,Brand,0.632946995,0.026542658,Point,Ford
*;*;Midsize,Year,0.590621343,0.265344018,Point,2007/1/1
*;*;Midsize,Brand,0.230996653,0.265344018,Point,Toyota
*;*;Sporty,Year,0.597461902,0.024445109,Point,2007/1/1
*;*;Sporty,Brand,0.622560327,0.024445109,Point,Ford
*;*;Subcompact,Year,0.582576766,0.190325479,Point,2008/1/1
*;*;Subcompact,Brand,0.046646284,0.190325479,Point,Toyota
*;*;SUV,Year,0.568569022,0.312617532,Point,2007/1/1
*;*;SUV,Brand,0.168316943,0.312617532,Point,Ford
*;*;Pickup,Year,0.593615582,0.052528747,Point,2007/1/1
*;*;Pickup,Brand,0.654344698,0.052528747,Point,GMC
*;*;MPV,Year,0.595622805,0.004062811,Point,2008/1/1
*;*;MPV,Brand,0.602286128,0.004062811,Point,Mazda
2007/1/1;BMW;*,Category,0.594898162,0.014020813,Point,Compact
2007/1/1;Ford;*,Category,0.589819231,0.054935304,Point,SUV
