Producer Type,Energy Source,Year,State,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Producer Type,Correlated Energy Source,Correlated Year,Correlated State,measure
*,*,*,MS,Year,-1,0.561614613,0.014724463,trend,shape,0.008269474,,,,,CO2 (kt)
Industrial Cogen,Other,*,*,Year,-1,0.300002991,0.029060161,trend,shape,0.008718135,,,,,CO2 (kt)
Utility Sector Cogen,Other,*,*,Year,-1,0.535631457,0.01695986,trend,shape,0.009084235,,,,,CO2 (kt)
*,*,*,UT,Year,-1,0.565673584,0.015550588,trend,shape,0.008796557,,,,,CO2 (kt)
*,*,*,CO,Year,-1,0.52180262,0.017251434,trend,shape,0.009001843,,,,,CO2 (kt)
*,*,*,IA,Year,-1,0.494322144,0.020944698,trend,shape,0.010353428,,,,,CO2 (kt)
Commercial Cogen,Petroleum,*,*,Year,-1,0.391450623,0.033968316,trend,shape,0.013296918,,,,,CO2 (kt)
Utility Sector Non-Cogen,Other,*,*,Year,-1,0.485038442,0.023082904,trend,shape,0.011196096,,,,,CO2 (kt)
*,*,*,DE,Year,-1,0.791320419,0.01278064,trend,shape,0.010113581,,,,,CO2 (kt)
*,*,*,NE,Year,-1,0.936455661,0.010593838,trend,shape,0.00992066,,,,,CO2 (kt)
Commercial Cogen,Other Biomass,*,*,Year,-1,1,0.00913597,trend,shape,0.00913597,,,,,CO2 (kt)
*,*,*,OR,Year,-1,0.586107473,0.018077559,trend,shape,0.010595392,,,,,CO2 (kt)
Utility Sector Non-Cogen,Coal,*,*,Year,-1,0.703841374,0.019827,trend,shape,0.013955063,,,,,CO2 (kt)
*,*,*,IL,Year,-1,0.618462476,0.027942463,trend,shape,0.017281365,,,,,CO2 (kt)
*,*,*,LA,Year,-1,0.631418983,0.022110992,trend,shape,0.0139613,,,,,CO2 (kt)
*,*,*,MA,Year,-1,0.633062229,0.023811838,trend,shape,0.015074375,,,,,CO2 (kt)
Commercial Cogen,Natural Gas,*,*,Year,-1,0.516915211,0.041257654,trend,shape,0.021326709,,,,,CO2 (kt)
*,*,*,AR,Year,-1,0.727638647,0.017154242,trend,shape,0.01248209,,,,,CO2 (kt)
Utility Sector Cogen,Wood and Wood Derived Fuels,*,*,Year,-1,1,0.013023617,trend,shape,0.013023617,,,,,CO2 (kt)
Utility Sector Non-Cogen,Wood and Wood Derived Fuels,*,*,Year,-1,1,0.013120809,trend,shape,0.013120809,,,,,CO2 (kt)
*,*,*,TX,Year,-1,0.522154348,0.031246963,trend,shape,0.016315737,,,,,CO2 (kt)
*,*,*,NY,Year,-1,0.698375788,0.031587132,trend,shape,0.022059688,,,,,CO2 (kt)
Electric Utility,Natural Gas,*,*,Year,-1,0.207290524,0.057828749,trend,shape,0.011987352,,,,,CO2 (kt)
*,Other Gases,*,*,Year,-1,0.281749274,0.041549227,trend,shape,0.011706465,,,,,CO2 (kt)
Commercial Non-Cogen,*,*,*,Year,-1,0.674685079,0.046846146,trend,shape,0.031606396,,,,,CO2 (kt)
*,Other,*,*,Year,-1,0.686604128,0.103994557,trend,shape,0.071403092,,,,,CO2 (kt)
Utility Sector Non-Cogen,Natural Gas,*,*,Year,-1,0.929164174,0.042375352,trend,shape,0.039373659,,,,,CO2 (kt)
*,Other Biomass,*,*,Year,-1,1,0.100009719,trend,shape,0.100009719,,,,,CO2 (kt)
Commercial Cogen,*,*,*,Year,-1,0.255048787,0.117990087,trend,shape,0.030093228,,,,,CO2 (kt)
Utility Sector Cogen,*,*,*,Year,-1,0.289020718,0.145300807,trend,shape,0.041994943,,,,,CO2 (kt)
Utility Sector Cogen,Other Biomass,*,*,Year,-1,1,0.014675867,trend,shape,0.014675867,,,,,CO2 (kt)
Electric Utility,*,*,*,Year,-1,0.677752755,0.211147828,trend,shape,0.143106022,,,,,CO2 (kt)
Industrial Non-Cogen,*,*,*,Year,-1,0.296847211,0.057731558,trend,shape,0.017137452,,,,,CO2 (kt)
Industrial Cogen,*,*,*,Year,-1,0.521284486,0.250704636,trend,shape,0.130688437,,,,,CO2 (kt)
Electric Utility,Coal,*,*,Year,-1,0.638019677,0.051414132,trend,shape,0.032803228,,,,,CO2 (kt)
Utility Sector Non-Cogen,*,*,*,Year,-1,0.77076958,0.170278939,trend,shape,0.131245826,,,,,CO2 (kt)
*,*,*,MO,Year,-1,0.719762866,0.017591603,trend,shape,0.012661782,,,,,CO2 (kt)
*,*,*,AZ,Year,-1,0.806919691,0.016182331,trend,shape,0.013057841,,,,,CO2 (kt)
Utility Sector Non-Cogen,Other Biomass,*,*,Year,-1,1,0.029254544,trend,shape,0.029254544,,,,,CO2 (kt)
*,Natural Gas,*,*,Year,-1,0.940526561,0.265866459,trend,shape,0.250054467,,,,,CO2 (kt)
Industrial Cogen,Coal,*,*,Year,-1,0.774323523,0.043979007,trend,shape,0.034053979,,,,,CO2 (kt)
*,*,*,*,Year,-1,0.138073617,1,trend,shape,0.138073617,,,,,CO2 (kt)
Electric Utility,Petroleum,*,*,Year,-1,0.84053597,0.063514433,trend,shape,0.053386165,,,,,CO2 (kt)
*,Petroleum,*,*,Year,-1,0.63309601,0.24769171,trend,shape,0.156812633,,,,,CO2 (kt)
Industrial Cogen,Wood and Wood Derived Fuels,*,*,Year,-1,1,0.029157353,trend,shape,0.029157353,,,,,CO2 (kt)
Electric Utility,Other Biomass,*,*,Year,-1,1,0.012683448,trend,shape,0.012683448,,,,,CO2 (kt)
Industrial Cogen,Other Biomass,*,*,Year,-1,1,0.0231315,trend,shape,0.0231315,,,,,CO2 (kt)
*,Wood and Wood Derived Fuels,*,*,Year,-1,1,0.071046749,trend,shape,0.071046749,,,,,CO2 (kt)
Utility Sector Cogen,Natural Gas,*,*,Year,-1,0.532340623,0.038487705,trend,shape,0.020488569,,,,,CO2 (kt)
Industrial Cogen,Petroleum,*,*,Year,-1,0.852405851,0.051268345,trend,shape,0.043701437,,,,,CO2 (kt)
Utility Sector Non-Cogen,Other,*,*,Year,2008,0.212615477,0.023082904,top1,point,0.004907783,,,,,CO2 (kt)
*,Coal,1991,*,Producer Type,Electric Utility,0.88873342,0.005588493,top1,point,0.00496668,,,,,CO2 (kt)
*,*,*,OK,Year,2008,0.282815741,0.017834581,top1,point,0.0050439,,,,,CO2 (kt)
*,Coal,1990,*,Producer Type,Electric Utility,0.890918984,0.005637088,top1,point,0.005022189,,,,,CO2 (kt)
*,Petroleum,*,AK,Producer Type,Electric Utility,0.774400352,0.006511809,top1,point,0.005042747,,,,,CO2 (kt)
*,Coal,1992,*,Producer Type,Electric Utility,0.924026626,0.005685684,top1,point,0.005253723,,,,,CO2 (kt)
*,*,*,LA,Year,2011,0.365578459,0.022110992,top1,point,0.008083302,,,,,CO2 (kt)
*,*,*,WY,Year,2013,0.473505262,0.012391875,top1,point,0.005867618,,,,,CO2 (kt)
