Year,Brand,Category,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Year,Correlated Brand,Correlated Category,measure
*,Mazda,SUV,Year,-1,0.038017469,0.018181818,trend,shape,0.000691227,,,,Sales
*,BMW,SUV,Year,-1,0.015963763,0.054545455,trend,shape,0.000870751,,,,Sales
*,*,SUV,Year,-1,0.002183602,0.4,trend,shape,0.000873441,,,,Sales
*,GMC,*,Year,-1,0.047839407,0.109090909,trend,shape,0.005218844,,,,Sales
*,Mazda,MPV,Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,,,,Sales
*,Ford,Compact,Year,-1,0.051671078,0.018181818,trend,shape,0.000939474,,,,Sales
*,Ford,SUV,Year,-1,0.013040069,0.072727273,trend,shape,0.000948369,,,,Sales
*,Honda,SUV,Year,-1,0.232797509,0.036363636,trend,shape,0.008465364,,,,Sales
*,BMW,Fullsize,Year,-1,0.30644848,0.018181818,trend,shape,0.005571791,,,,Sales
*,*,MPV,Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,,,,Sales
*,BMW,Subcompact,Year,-1,0.105764937,0.018181818,trend,shape,0.001922999,,,,Sales
*,Ford,Fullsize,Year,-1,0.100707423,0.036363636,trend,shape,0.003662088,,,,Sales
*,Ford,Sporty,Year,-1,0.675499151,0.018181818,trend,shape,0.012281803,,,,Sales
*,Ford,Subcompact,Year,-1,0.533441565,0.018181818,trend,shape,0.009698938,,,,Sales
*,Ford,Pickup,Year,-1,0.075051013,0.018181818,trend,shape,0.001364564,,,,Sales
*,GMC,Pickup,Year,-1,0.49106286,0.036363636,trend,shape,0.017856831,,,,Sales
*,Honda,Midsize,Year,-1,0.934932848,0.018181818,trend,shape,0.016998779,,,,Sales
*,Hyundai,Midsize,Year,-1,0.618928801,0.018181818,trend,shape,0.011253251,,,,Sales
*,Hyundai,Subcompact,Year,-1,0.313034239,0.018181818,trend,shape,0.005691532,,,,Sales
*,Mazda,Compact,Year,-1,0.487380453,0.018181818,trend,shape,0.008861463,,,,Sales
*,*,Fullsize,Year,-1,0.117723734,0.054545455,trend,shape,0.006421295,,,,Sales
*,Ford,*,Year,-1,0.048710726,0.2,trend,shape,0.009742145,,,,Sales
*,BMW,Midsize,Year,-1,0.13650355,0.014545455,trend,shape,0.001985506,,,,Sales
*,Volkswagen,Compact,Year,-1,0.778075633,0.018181818,trend,shape,0.01414683,,,,Sales
*,Volkswagen,Sporty,Year,-1,0.710348097,0.018181818,trend,shape,0.01291542,,,,Sales
*,*,Sporty,Year,-1,0.710803076,0.072727273,trend,shape,0.051694769,,,,Sales
*,Ford,Midsize,Year,-1,0.932174836,0.018181818,trend,shape,0.016948633,,,,Sales
*,*,Subcompact,Year,-1,0.848279545,0.163636364,trend,shape,0.13880938,,,,Sales
*,Mazda,*,Year,-1,0.288653414,0.090909091,trend,shape,0.026241219,,,,Sales
*,BMW,*,Year,-1,0.317862096,0.163636364,trend,shape,0.052013798,,,,Sales
*,GMC,SUV,Year,-1,0.108691466,0.072727273,trend,shape,0.007904834,,,,Sales
*,*,*,Year,-1,0.253718566,1,trend,shape,0.253718566,,,,Sales
*,*,Pickup,Year,-1,0.41775494,0.054545455,trend,shape,0.022786633,,,,Sales
*,Honda,Subcompact,Year,-1,0.798959169,0.036363636,trend,shape,0.029053061,,,,Sales
*,Volkswagen,*,Year,-1,0.222842339,0.127272727,trend,shape,0.028361752,,,,Sales
*,Toyota,*,Year,-1,0.932355738,0.127272727,trend,shape,0.118663458,,,,Sales
*,Hyundai,Compact,Year,-1,0.85797449,0.018181818,trend,shape,0.015599536,,,,Sales
*,BMW,Compact,Year,-1,0.5993816,0.021818182,trend,shape,0.013077417,,,,Sales
*,Volkswagen,SUV,Year,-1,0.794607903,0.036363636,trend,shape,0.028894833,,,,Sales
*,Honda,*,Year,-1,0.892048405,0.090909091,trend,shape,0.08109531,,,,Sales
*,Mazda,Midsize,Year,-1,0.771080469,0.018181818,trend,shape,0.014019645,,,,Sales
*,BMW,Sporty,Year,-1,0.747518992,0.036363636,trend,shape,0.027182509,,,,Sales
*,Mazda,Subcompact,Year,-1,0.566305334,0.018181818,trend,shape,0.010296461,,,,Sales
*,Volkswagen,Subcompact,Year,-1,0.899374272,0.018181818,trend,shape,0.016352259,,,,Sales
*,Toyota,Midsize,Year,-1,0.947635979,0.018181818,trend,shape,0.017229745,,,,Sales
*,Toyota,Subcompact,Year,-1,0.943773725,0.036363636,trend,shape,0.034319045,,,,Sales
*,Toyota,SUV,Year,-1,0.39009974,0.072727273,trend,shape,0.02837089,,,,Sales
*,Hyundai,*,Year,-1,0.72588682,0.090909091,trend,shape,0.065989711,,,,Sales
*,Volkswagen,Midsize,Year,-1,0.495273983,0.036363636,trend,shape,0.018009963,,,,Sales
*,*,Midsize,Year,-1,0.302016518,0.141818182,trend,shape,0.042831433,,,,Sales
*,Mazda,Compact,Year,2007,0.479923941,0.018181818,top1,point,0.00872589,,,,Sales
2009,Volkswagen,*,Category,Midsize,0.384782535,0.025454545,top1,point,0.009794465,,,,Sales
*,Hyundai,SUV,Year,2007,0.257676542,0.036363636,top1,point,0.009370056,,,,Sales
2008,*,Sporty,Brand,Ford,0.997720349,0.014545455,top1,point,0.014512296,,,,Sales
*,Hyundai,Compact,Year,2011,0.553882062,0.018181818,top1,point,0.010070583,,,,Sales
*,Ford,Compact,Year,2008,0.549648603,0.018181818,top1,point,0.009993611,,,,Sales
2011,Mazda,*,Category,Compact,0.684886106,0.018181818,top1,point,0.012452475,,,,Sales
2011,Toyota,*,Category,Midsize,0.57525372,0.025454545,top1,point,0.014642822,,,,Sales
*,Volkswagen,SUV,Year,2011,0.434766667,0.036363636,top1,point,0.015809697,,,,Sales
*,Ford,Fullsize,Year,2007,0.370315842,0.036363636,top1,point,0.013466031,,,,Sales
*,Honda,Subcompact,Year,2008,0.302053402,0.036363636,top1,point,0.01098376,,,,Sales
2011,Honda,*,Category,Subcompact,0.660146576,0.018181818,top1,point,0.012002665,,,,Sales
*,Toyota,*,Category,Midsize,0.125881267,0.127272727,top1,point,0.016021252,,,,Sales
*,Volkswagen,*,Category,Midsize,0.314155442,0.127272727,top1,point,0.03998342,,,,Sales
*,GMC,Pickup,Year,2007,0.363056226,0.036363636,top1,point,0.013202045,,,,Sales
*,*,Fullsize,Year,2007,0.394994583,0.054545455,top1,point,0.021545159,,,,Sales
2011,Ford,*,Category,SUV,0.500800678,0.04,top1,point,0.020032027,,,,Sales
*,GMC,*,Year,2007,0.179931823,0.109090909,top1,point,0.019628926,,,,Sales
*,BMW,Sporty,Year,2007,0.510563839,0.036363636,top1,point,0.018565958,,,,Sales
*,Ford,SUV,Year,2011,0.20853482,0.072727273,top1,point,0.015166169,,,,Sales
*,*,Pickup,Year,2007,0.363439631,0.054545455,top1,point,0.01982398,,,,Sales
2007,*,Sporty,Brand,Ford,0.991456521,0.014545455,top1,point,0.014421186,,,,Sales
2007,Ford,*,Category,SUV,0.295896956,0.04,top1,point,0.011835878,,,,Sales
2010,Toyota,*,Category,Midsize,0.530042036,0.025454545,top1,point,0.013491979,,,,Sales
*,Ford,Sporty,Year,2007,0.711567344,0.018181818,top1,point,0.012937588,,,,Sales
*,Toyota,*,Year,2007,0.36483893,0.127272727,top1,point,0.046434046,,,,Sales
*,BMW,Compact,Year,2007,0.865054159,0.021818182,top1,point,0.018873909,,,,Sales
*,BMW,*,Year,2007,0.4913484,0.163636364,top1,point,0.080402466,,,,Sales
*,Volkswagen,*,Year,2011,0.35257603,0.127272727,top1,point,0.044873313,,,,Sales
*,*,Compact,Year,2011,0.269586138,0.094545455,top1,point,0.025488144,,,,Sales
2009,*,Sporty,Brand,Ford,0.998468384,0.014545455,top1,point,0.014523176,,,,Sales
*,*,*,Year,2007,0.46135878,1,top1,point,0.46135878,,,,Sales
*,Ford,*,Category,SUV,0.10928059,0.2,top1,point,0.021856118,,,,Sales
*,Ford,*,Year,2011,0.332597848,0.2,top1,point,0.06651957,,,,Sales
*,*,Midsize,Year,2007,0.42310869,0.141818182,top1,point,0.060004505,,,,Sales
*,*,Sporty,Year,2007,0.668954603,0.072727273,top1,point,0.048651244,,,,Sales
*,*,Sporty,Brand,Ford,0.997856584,0.072727273,top1,point,0.072571388,,,,Sales
*,*,Subcompact,Year,2008,0.266508116,0.163636364,top1,point,0.043610419,,,,Sales
*,Honda,SUV,Year,2007,0.519407929,0.036363636,top1,point,0.018887561,,,,Sales
*,*,SUV,Year,2007,0.219618749,0.4,top1,point,0.0878475,,,,Sales
*,Honda,*,Year,2007,0.263455373,0.090909091,top1,point,0.023950488,,,,Sales
*,Volkswagen,Midsize,Year,2011,0.568177105,0.036363636,top1,point,0.020660986,,,,Sales
*,Toyota,SUV,Year,2007,0.590644524,0.072727273,top1,point,0.042955965,,,,Sales
*,Hyundai,*,Year,2011,0.423823196,0.090909091,top1,point,0.038529381,,,,Sales
*,Ford,Subcompact,Year,2011,0.983263271,0.018181818,top1,point,0.017877514,,,,Sales
2007,BMW,*,Category,Compact,0.407406799,0.032727273,top1,point,0.013333313,,,,Sales
2010,*,Sporty,Brand,Ford,0.998609181,0.014545455,top1,point,0.014525224,,,,Sales
*,Mazda,*,Year,2007,0.382897667,0.090909091,top1,point,0.034808879,,,,Sales
*,Mazda,Subcompact,Year,2011,0.991698028,0.018181818,top1,point,0.018030873,,,,Sales
2011,*,Sporty,Brand,Ford,0.998483107,0.014545455,top1,point,0.014523391,,,,Sales
*,*,MPV,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Mazda,MPV,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Ford,Midsize,Year,2009,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Hyundai,Subcompact,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,BMW,Fullsize,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Volkswagen,Subcompact,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Ford,Subcompact,Year,2010,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,BMW,Compact,Year,2008,1,0.021818182,change point,shape,0.021818182,,,,Sales
*,Hyundai,Compact,Year,2010,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Mazda,Compact,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,BMW,Subcompact,Year,2010,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Volkswagen,Sporty,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Ford,Sporty,Year,2008,1,0.018181818,change point,shape,0.018181818,,,,Sales
*,Ford,SUV,Year,2010,1,0.072727273,change point,shape,0.072727273,,,,Sales
