Registration,Engine Type,Body,Brand,Year,Model,breakdown,breakdown_value,sig,impact,insight,insight_type,score,Correlated Registration,Correlated Engine Type,Correlated Body,Correlated Brand,Correlated Year,Correlated Model,measure
yes,Diesel,crossover,*,*,*,Year,-1,0.37696205,0.090186335,trend,shape,0.033996826,,,,,,,Price
yes,*,vagon,*,*,*,Year,-1,0.484316373,0.070559006,trend,shape,0.034172882,,,,,,,Price
*,*,sedan,Mercedes-Benz,*,*,Year,-1,0.388502199,0.088447205,trend,shape,0.034361934,,,,,,,Price
*,*,vagon,*,*,*,Year,-1,0.503050035,0.094161491,trend,shape,0.047367941,,,,,,,Price
*,Diesel,crossover,*,*,*,Year,-1,0.383807298,0.09515528,trend,shape,0.036521291,,,,,,,Price
*,Petrol,*,Volkswagen,*,*,Year,-1,0.502026626,0.068819876,trend,shape,0.03454941,,,,,,,Price
yes,*,sedan,BMW,*,*,Year,-1,0.633883977,0.072298137,trend,shape,0.04582863,,,,,,,Price
yes,Diesel,*,Volkswagen,*,*,Year,-1,0.660241658,0.113291925,trend,shape,0.074800049,,,,,,,Price
*,Diesel,sedan,*,*,*,Year,-1,0.569864207,0.100869565,trend,shape,0.057481955,,,,,,,Price
yes,*,*,Renault,*,*,Year,-1,0.390051749,0.104347826,trend,shape,0.040701052,,,,,,,Price
yes,Diesel,*,Mercedes-Benz,*,*,Year,-1,0.370856431,0.099627329,trend,shape,0.036947436,,,,,,,Price
yes,Diesel,sedan,*,*,*,Year,-1,0.544468501,0.072298137,trend,shape,0.039364058,,,,,,,Price
yes,*,hatch,*,*,*,Year,-1,0.585901203,0.059875776,trend,shape,0.035081289,,,,,,,Price
*,Gas,*,*,*,*,Year,-1,0.317934004,0.146583851,trend,shape,0.046603991,,,,,,,Price
yes,*,other,*,*,*,Year,-1,0.507854332,0.092173913,trend,shape,0.046810921,,,,,,,Price
*,*,*,Toyota,*,*,Year,-1,0.596592289,0.126708075,trend,shape,0.07559306,,,,,,,Price
yes,*,*,BMW,*,*,Year,-1,0.588763812,0.132919255,trend,shape,0.078258047,,,,,,,Price
*,*,sedan,BMW,*,*,Year,-1,0.644215038,0.089689441,trend,shape,0.057779287,,,,,,,Price
yes,*,*,Mercedes-Benz,*,*,Year,-1,0.360736504,0.187826087,trend,shape,0.067755726,,,,,,,Price
*,*,*,Renault,*,*,Year,-1,0.395743426,0.110559006,trend,shape,0.043753,,,,,,,Price
yes,Gas,*,*,*,*,Year,-1,0.313279553,0.140621118,trend,shape,0.044053721,,,,,,,Price
yes,*,*,Toyota,*,*,Year,-1,0.595436251,0.125714286,trend,shape,0.074854843,,,,,,,Price
yes,Petrol,*,BMW,*,*,Year,-1,0.621398306,0.068819876,trend,shape,0.042764554,,,,,,,Price
*,Petrol,sedan,*,*,*,Year,-1,0.54356179,0.195031056,trend,shape,0.10601143,,,,,,,Price
*,*,hatch,*,*,*,Year,-1,0.600192551,0.066583851,trend,shape,0.039963131,,,,,,,Price
*,*,other,*,*,*,Year,-1,0.5119835,0.097888199,trend,shape,0.050117143,,,,,,,Price
*,Diesel,*,Mercedes-Benz,*,*,Year,-1,0.380970339,0.111055901,trend,shape,0.042309004,,,,,,,Price
*,*,*,BMW,*,*,Year,-1,0.604005303,0.159006211,trend,shape,0.096040595,,,,,,,Price
yes,*,van,*,*,*,Year,-1,0.605098375,0.149813665,trend,shape,0.090652005,,,,,,,Price
