Subspace,Breakdown,Sig,Impact,Type,Breakdown_value
*;*;*,Brand,0.390425681,1,Point,Mercedes-Benz
*;*;*,Body,0.127275278,1,Point,crossover
*;*;*,Year,6.68E-85,1,Point,2016
BMW;*;*,Body,0.114004918,0.194219557,Point,crossover
BMW;*;*,Year,0.189885532,0.194219557,Point,2016
Mercedes-Benz;*;*,Body,0.004926648,0.321814526,Point,crossover
Mercedes-Benz;*;*,Year,0.000682353,0.321814526,Point,2016
Audi;*;*,Body,1.90E-05,0.10085118,Point,sedan
Audi;*;*,Year,0.297059841,0.10085118,Point,2013
Toyota;*;*,Body,0.463322873,0.14580479,Point,crossover
Toyota;*;*,Year,0.019755562,0.14580479,Point,2016
Renault;*;*,Body,0.546736862,0.045215569,Point,van
Renault;*;*,Year,0.460878553,0.045215569,Point,2012
Volkswagen;*;*,Body,0.504937356,0.147070117,Point,sedan
Volkswagen;*;*,Year,0.138285389,0.147070117,Point,2012
Mitsubishi;*;*,Body,0.507811178,0.04502426,Point,crossover
Mitsubishi;*;*,Year,0.510781557,0.04502426,Point,2008
*;sedan;*,Brand,0.382093269,0.308344476,Point,Mercedes-Benz
*;sedan;*,Year,0.006011581,0.308344476,Point,2011
*;van;*,Brand,4.89E-26,0.100153111,Point,Volkswagen
*;van;*,Year,0.385276065,0.100153111,Point,2013
*;crossover;*,Brand,0.208555638,0.392861672,Point,Mercedes-Benz
*;crossover;*,Year,0.000323202,0.392861672,Point,2016
*;vagon;*,Brand,0.504430731,0.048001974,Point,Audi
*;vagon;*,Year,0.481476878,0.048001974,Point,2012
*;other;*,Brand,0.549483507,0.115913669,Point,Mercedes-Benz
*;other;*,Year,0.145180087,0.115913669,Point,2016
*;hatch;*,Brand,0.543124325,0.034725098,Point,Volkswagen
*;hatch;*,Year,0.499639207,0.034725098,Point,2013
*;*;1991,Brand,0.547360242,0.001436365,Point,BMW
*;*;1991,Body,0.548659272,0.001436365,Point,sedan
*;*;1999,Brand,0.544856481,0.006919182,Point,Mercedes-Benz
*;*;1999,Body,0.547435457,0.006919182,Point,sedan
*;*;2003,Brand,0.545322587,0.016701222,Point,Mercedes-Benz
*;*;2003,Body,0.545539455,0.016701222,Point,sedan
*;*;2007,Brand,0.542149171,0.061539273,Point,Mercedes-Benz
*;*;2007,Body,0.503045407,0.061539273,Point,sedan
*;*;2011,Brand,0.517555876,0.093084531,Point,Mercedes-Benz
*;*;2011,Body,0.520770787,0.093084531,Point,sedan
*;*;2016,Brand,0.460618779,0.189801796,Point,Mercedes-Benz
*;*;2016,Body,0.44502177,0.189801796,Point,crossover
*;*;1997,Brand,0.543068421,0.00525932,Point,BMW
*;*;1997,Body,0.549617131,0.00525932,Point,sedan
*;*;2006,Brand,0.546150782,0.030876591,Point,Mercedes-Benz
*;*;2006,Body,0.53589409,0.030876591,Point,sedan
*;*;2012,Brand,0.521642154,0.092725776,Point,Volkswagen
*;*;2012,Body,0.515374387,0.092725776,Point,sedan
*;*;1994,Brand,0.546992588,0.002131798,Point,Mercedes-Benz
*;*;1994,Body,0.548596558,0.002131798,Point,sedan
*;*;2008,Brand,0.530528446,0.081338141,Point,Mercedes-Benz
*;*;2008,Body,0.509866073,0.081338141,Point,crossover
*;*;2001,Brand,0.541545087,0.011498742,Point,Mercedes-Benz
*;*;2001,Body,0.549913317,0.011498742,Point,sedan
*;*;2013,Brand,0.51835632,0.096496007,Point,Mercedes-Benz
*;*;2013,Body,0.530465856,0.096496007,Point,crossover
*;*;1998,Brand,0.540567844,0.005346295,Point,BMW
*;*;1998,Body,0.548736836,0.005346295,Point,sedan
*;*;2010,Brand,0.522187589,0.047477263,Point,Mercedes-Benz
*;*;2010,Body,0.532929451,0.047477263,Point,crossover
*;*;1989,Brand,0.548087044,0.00078421,Point,Volkswagen
*;*;1989,Body,0.547709204,0.00078421,Point,sedan
*;*;2009,Brand,0.546241713,0.030770254,Point,Mercedes-Benz
*;*;2009,Body,0.534945729,0.030770254,Point,crossover
*;*;1996,Brand,0.544086705,0.003803346,Point,Mercedes-Benz
*;*;1996,Body,0.548892929,0.003803346,Point,sedan
*;*;2014,Brand,0.49148475,0.076753937,Point,Mercedes-Benz
*;*;2014,Body,0.467579737,0.076753937,Point,sedan
*;*;2000,Brand,0.543423613,0.011024411,Point,Mercedes-Benz
*;*;2000,Body,0.54979452,0.011024411,Point,sedan
*;*;2004,Brand,0.54215048,0.020059177,Point,Mercedes-Benz
*;*;2004,Body,0.54233917,0.020059177,Point,sedan
*;*;1987,Brand,0.547940881,0.000539852,Point,Audi
*;*;1987,Body,0.547457352,0.000539852,Point,sedan
*;*;1990,Brand,0.547901976,0.00071635,Point,BMW
*;*;1990,Body,0.548027666,0.00071635,Point,sedan
*;*;2005,Brand,0.54054601,0.024895331,Point,Mercedes-Benz
*;*;2005,Body,0.536203724,0.024895331,Point,sedan
*;*;1995,Brand,0.546200653,0.002732616,Point,BMW
*;*;1995,Body,0.548714561,0.002732616,Point,sedan
*;*;2002,Brand,0.541187503,0.011838795,Point,Mercedes-Benz
*;*;2002,Body,0.54543909,0.011838795,Point,sedan
*;*;2015,Brand,0.449408052,0.068106276,Point,Mercedes-Benz
*;*;2015,Body,0.49485493,0.068106276,Point,crossover
*;*;1992,Brand,0.547403395,0.001134073,Point,Audi
*;*;1992,Body,0.548291555,0.001134073,Point,sedan
*;*;1988,Brand,0.547847005,0.000778644,Point,BMW
*;*;1988,Body,0.548353036,0.000778644,Point,sedan
*;*;1986,Brand,0.547954822,0.000374273,Point,Mitsubishi
*;*;1986,Body,0.548082155,0.000374273,Point,sedan
*;*;1980,Brand,0.548078455,0.000119378,Point,Mercedes-Benz
*;*;1980,Body,0.548118266,0.000119378,Point,other
*;*;1979,Brand,0.548094946,6.84E-05,Point,Mercedes-Benz
*;*;1979,Body,0.548099878,6.84E-05,Point,sedan
*;*;1985,Brand,0.547762309,0.000465882,Point,Mercedes-Benz
*;*;1985,Body,0.548132737,0.000465882,Point,sedan
*;*;1993,Brand,0.547533439,0.001704698,Point,BMW
*;*;1993,Body,0.548405716,0.001704698,Point,sedan
*;*;1969,Brand,0.54834202,0.000431903,Point,Mercedes-Benz
*;*;1969,Body,0.54834202,0.000431903,Point,sedan
*;*;1984,Brand,0.548101185,7.03E-05,Point,Volkswagen
*;*;1984,Body,0.548045044,7.03E-05,Point,sedan
*;*;1978,Brand,0.548118455,9.63E-05,Point,Mercedes-Benz
*;*;1978,Body,0.548118455,9.63E-05,Point,sedan
*;*;1983,Brand,0.548084753,7.53E-05,Point,BMW
*;*;1983,Body,0.548084753,7.53E-05,Point,other
*;*;1982,Brand,0.548070368,2.41E-05,Point,Volkswagen
*;*;1982,Body,0.548070368,2.41E-05,Point,hatch
BMW;sedan;*,Year,0.491030958,0.076037114,Point,2011
BMW;crossover;*,Year,0.519078861,0.090606523,Point,2016
BMW;vagon;*,Year,0.546564987,0.007503415,Point,2012
BMW;other;*,Year,0.536671689,0.017282185,Point,2012
BMW;hatch;*,Year,0.546808124,0.00279032,Point,2016
Mercedes-Benz;sedan;*,Year,0.369139014,0.10338899,Point,2011
Mercedes-Benz;van;*,Year,0.537374166,0.039489893,Point,2016
Mercedes-Benz;crossover;*,Year,0.521896057,0.11711196,Point,2016
Mercedes-Benz;vagon;*,Year,0.546947168,0.00294307,Point,2013
