subspace1,subspace2,breakdown,correlation
*;*;,BMW;*;,Year,0.9825940888274889
*;*;,Mercedes-Benz;*;,Year,0.9436825556992354
*;*;,Audi;*;,Year,0.8496580753237378
*;*;,Toyota;*;,Year,0.9793097848641756
*;*;,Renault;*;,Year,0.6965262751956053
*;*;,Volkswagen;*;,Year,0.8699122235812915
*;*;,Mitsubishi;*;,Year,0.6032383404924205
*;*;,*;sedan;,Year,0.8324011013531227
*;*;,*;van;,Year,0.9066018847988098
*;*;,*;crossover;,Year,0.9360407128864668
*;*;,*;vagon;,Year,0.6577085972218302
*;*;,*;other;,Year,0.9671526399841542
*;*;,*;hatch;,Year,0.8647177670819549
*;*;,BMW;sedan;,Year,0.8379282576562429
*;*;,BMW;van;,Year,nan
*;*;,BMW;crossover;,Year,0.9132618796588132
*;*;,BMW;vagon;,Year,0.43383312586672373
*;*;,BMW;other;,Year,0.7481891861658292
*;*;,BMW;hatch;,Year,0.8068954218673596
*;*;,Mercedes-Benz;sedan;,Year,0.6196858690242111
*;*;,Mercedes-Benz;van;,Year,0.9437096671901697
*;*;,Mercedes-Benz;crossover;,Year,0.7856394402690686
*;*;,Mercedes-Benz;vagon;,Year,0.4258573370120424
*;*;,Mercedes-Benz;other;,Year,0.875263894125191
*;*;,Mercedes-Benz;hatch;,Year,0.4571361235929628
*;*;,Audi;sedan;,Year,0.8187253198002735
*;*;,Audi;van;,Year,-0.07504280162573872
*;*;,Audi;crossover;,Year,0.7885536685050165
*;*;,Audi;vagon;,Year,0.3280520527434372
*;*;,Audi;other;,Year,0.4583792550560183
*;*;,Audi;hatch;,Year,0.6566959591174051
*;*;,Toyota;sedan;,Year,0.6314438888257295
*;*;,Toyota;van;,Year,0.6588432581112229
*;*;,Toyota;crossover;,Year,0.9941905609434931
*;*;,Toyota;vagon;,Year,0.39311216214153705
*;*;,Toyota;other;,Year,0.7475697712046909
*;*;,Toyota;hatch;,Year,0.7584307518744621
*;*;,Renault;sedan;,Year,0.8214998865523582
*;*;,Renault;van;,Year,0.5110294548876299
*;*;,Renault;crossover;,Year,0.7924790304027192
*;*;,Renault;vagon;,Year,0.60645405294736
*;*;,Renault;other;,Year,0.49230569513217615
*;*;,Renault;hatch;,Year,0.6855144930128017
*;*;,Volkswagen;sedan;,Year,0.8948358240924136
*;*;,Volkswagen;van;,Year,0.6964673654686304
*;*;,Volkswagen;crossover;,Year,0.8787708344175351
*;*;,Volkswagen;vagon;,Year,0.6109089613661319
*;*;,Volkswagen;other;,Year,0.5511849821518865
*;*;,Volkswagen;hatch;,Year,0.6062831825073097
*;*;,Mitsubishi;sedan;,Year,0.3286813106815033
*;*;,Mitsubishi;van;,Year,0.1424968263717982
*;*;,Mitsubishi;crossover;,Year,0.6593194132753545
*;*;,Mitsubishi;vagon;,Year,0.061009750341369684
*;*;,Mitsubishi;other;,Year,0.8355730226713455
*;*;,Mitsubishi;hatch;,Year,0.007360797901786323
BMW;*;,Mercedes-Benz;*;,Year,0.9612366700143976
BMW;*;,Audi;*;,Year,0.7987633359725338
BMW;*;,Toyota;*;,Year,0.9295168302739867
BMW;*;,Renault;*;,Year,0.6364872851957804
BMW;*;,Volkswagen;*;,Year,0.8220839272477363
BMW;*;,Mitsubishi;*;,Year,0.4916253873296322
BMW;*;,*;sedan;,Year,0.810514756562486
BMW;*;,*;van;,Year,0.8437065348711279
BMW;*;,*;crossover;,Year,0.9388401149783069
BMW;*;,*;vagon;,Year,0.589936449258722
BMW;*;,*;other;,Year,0.9447749285012238
BMW;*;,*;hatch;,Year,0.8105328194062182
BMW;*;,BMW;sedan;,Year,0.8509472950046003
BMW;*;,BMW;van;,Year,nan
BMW;*;,BMW;crossover;,Year,0.9452634673168593
BMW;*;,BMW;vagon;,Year,0.391591058241035
BMW;*;,BMW;other;,Year,0.7006885549440961
BMW;*;,BMW;hatch;,Year,0.7297567048360257
BMW;*;,Mercedes-Benz;sedan;,Year,0.6412891965306379
BMW;*;,Mercedes-Benz;van;,Year,0.9254862427374144
BMW;*;,Mercedes-Benz;crossover;,Year,0.8028014546424647
BMW;*;,Mercedes-Benz;vagon;,Year,0.35747309350881035
BMW;*;,Mercedes-Benz;other;,Year,0.8930519126960894
BMW;*;,Mercedes-Benz;hatch;,Year,0.47120874436167964
BMW;*;,Audi;sedan;,Year,0.7649659044189562
BMW;*;,Audi;van;,Year,-0.07186708499437539
BMW;*;,Audi;crossover;,Year,0.7400811225413463
BMW;*;,Audi;vagon;,Year,0.27627628376919733
BMW;*;,Audi;other;,Year,0.4324857503508821
BMW;*;,Audi;hatch;,Year,0.692168157741784
BMW;*;,Toyota;sedan;,Year,0.5442045785962514
BMW;*;,Toyota;van;,Year,0.7014841061809772
BMW;*;,Toyota;crossover;,Year,0.9793481643939089
BMW;*;,Toyota;vagon;,Year,0.324395811214747
BMW;*;,Toyota;other;,Year,0.652912240961538
BMW;*;,Toyota;hatch;,Year,0.6511806898396459
BMW;*;,Renault;sedan;,Year,0.7847796523764026
BMW;*;,Renault;van;,Year,0.43398355561055124
BMW;*;,Renault;crossover;,Year,0.8295882529900919
BMW;*;,Renault;vagon;,Year,0.5570684146894763
BMW;*;,Renault;other;,Year,0.40373160563734517
BMW;*;,Renault;hatch;,Year,0.6531504149654772
BMW;*;,Volkswagen;sedan;,Year,0.8621397369202676
BMW;*;,Volkswagen;van;,Year,0.6053705642044601
BMW;*;,Volkswagen;crossover;,Year,0.8760802228297959
BMW;*;,Volkswagen;vagon;,Year,0.5665198840338311
BMW;*;,Volkswagen;other;,Year,0.5234750134588172
BMW;*;,Volkswagen;hatch;,Year,0.5451061208527722
BMW;*;,Mitsubishi;sedan;,Year,0.20407537153493
BMW;*;,Mitsubishi;van;,Year,0.05746105958803552
BMW;*;,Mitsubishi;crossover;,Year,0.5609651758325527
BMW;*;,Mitsubishi;vagon;,Year,0.016975399897845363
BMW;*;,Mitsubishi;other;,Year,0.7725086663249686
BMW;*;,Mitsubishi;hatch;,Year,-0.0350156878149064
Mercedes-Benz;*;,Audi;*;,Year,0.6762047762579626
Mercedes-Benz;*;,Toyota;*;,Year,0.8917988897789213
Mercedes-Benz;*;,Renault;*;,Year,0.46909345300511734
Mercedes-Benz;*;,Volkswagen;*;,Year,0.6744100341944123
Mercedes-Benz;*;,Mitsubishi;*;,Year,0.4592594050873652
Mercedes-Benz;*;,*;sedan;,Year,0.6388287541643115
Mercedes-Benz;*;,*;van;,Year,0.7603514613642626
Mercedes-Benz;*;,*;crossover;,Year,0.9930740857732826
Mercedes-Benz;*;,*;vagon;,Year,0.4054775441278301
Mercedes-Benz;*;,*;other;,Year,0.9085365186780747
Mercedes-Benz;*;,*;hatch;,Year,0.6750927889752432
Mercedes-Benz;*;,BMW;sedan;,Year,0.7168780586602057
Mercedes-Benz;*;,BMW;van;,Year,nan
Mercedes-Benz;*;,BMW;crossover;,Year,0.9854015306434933
Mercedes-Benz;*;,BMW;vagon;,Year,0.2111444285577245
Mercedes-Benz;*;,BMW;other;,Year,0.5399086306010873
Mercedes-Benz;*;,BMW;hatch;,Year,0.7261789816937196
Mercedes-Benz;*;,Mercedes-Benz;sedan;,Year,0.4403749149306203
Mercedes-Benz;*;,Mercedes-Benz;van;,Year,0.9428023465592014
Mercedes-Benz;*;,Mercedes-Benz;crossover;,Year,0.9318841388840529
