project_code,major_name,plan_end_time,project_tag,profession_tag,sum of danger_number,count of risk_level=1,count of risk_level=2,count of risk_level=3
HRZD-CZGY-01,消防专业,2020/10/29 0:00,有巢公寓北京亦庄文化园店,长租公寓,42,7,34,1
HRZD-CZGY-01,电梯专业,2020/10/29 0:00,有巢公寓北京亦庄文化园店,长租公寓,27,6,19,2
HRZD-CZGY-02,消防专业,2020/11/2 0:00,有巢公寓大连考拉住区店,长租公寓,16,2,14,0
HRZD-CZGY-02,电梯专业,2020/11/2 0:00,有巢公寓大连考拉住区店,长租公寓,23,4,17,2
HRZD-CZGY-03,消防专业,2020/11/4 0:00,有巢公馆上海三林店,长租公寓,26,7,16,3
HRZD-CZGY-03,电梯专业,2020/11/4 0:00,有巢公馆上海三林店,长租公寓,25,10,11,4
HRZD-CZGY-04,消防专业,2020/11/5 0:00,有巢公寓余姚五彩城店,长租公寓,23,5,17,1
HRZD-CZGY-04,电梯专业,2020/11/5 0:00,有巢公寓余姚五彩城店,长租公寓,28,5,22,1
HRZD-CZGY-05,消防专业,2020/11/6 0:00,宁波彩虹北路店,长租公寓,26,5,16,5
HRZD-CZGY-05,电梯专业,2020/11/6 0:00,宁波彩虹北路店,长租公寓,35,15,18,2
HRZD-CZGY-06,消防专业,2020/11/8 0:00,深圳留仙洞门店,长租公寓,45,10,26,9
HRZD-CZGY-06,电梯专业,2020/11/8 0:00,深圳留仙洞门店,长租公寓,28,9,14,5
HRZD-HD-SH-001-01,其他专业,2020/3/20 0:00,上海万象城,综合体,77,37,18,10
HRZD-HD-SH-001-01,消防专业,2020/3/20 0:00,上海万象城,综合体,10,4,3,3
HRZD-HD-SH-001-01,燃气专业,2020/3/20 0:00,上海万象城,综合体,11,3,6,1
SHSDGC-ZRH-2020-01,消防专业,2020/11/6 0:00,上海时代广场,综合体,426,54,309,63
SHSDGC-ZRH-2020-01,电梯专业,2020/11/6 0:00,上海时代广场,综合体,53,10,31,12
SHSDGC-ZRH-2020-01,电气专业,2020/11/6 0:00,上海时代广场,综合体,88,12,63,13
TEST009,其他专业,2020/4/27 0:00,光明安全检查项目,在建工程,11,10,1,0
TEST009,在建专业,2020/4/27 0:00,光明安全检查项目,在建工程,15,13,2,0
TEST009,消防专业,2020/4/27 0:00,光明安全检查项目,在建工程,1,0,1,0
WH(DL)-2004-L01-A01-001-001,其他专业,2020/4/17 0:00,鞍山万象汇,综合体,107,32,67,5
WH(DL)-2004-L01-A01-001-001,水务专业,2020/4/17 0:00,鞍山万象汇,综合体,1,1,0,0
WH(DL)-2004-L01-A01-001-001,消防专业,2020/4/17 0:00,鞍山万象汇,综合体,169,15,45,16
WH(DL)-2004-L01-A01-001-001,燃气专业,2020/4/17 0:00,鞍山万象汇,综合体,8,0,2,6
WH(DL)-2004-L01-A01-001-001,电梯专业,2020/4/17 0:00,鞍山万象汇,综合体,39,6,27,6
WH(DL)-2004-L01-A01-004-001,其他专业,2020/4/17 0:00,沈阳万象城,综合体,17,13,4,0
WH(DL)-2004-L01-A01-004-001,水务专业,2020/4/17 0:00,沈阳万象城,综合体,4,0,1,0
WH(DL)-2004-L01-A01-004-001,消防专业,2020/4/17 0:00,沈阳万象城,综合体,78,8,35,4
WH(DL)-2004-L01-A01-004-001,燃气专业,2020/4/17 0:00,沈阳万象城,综合体,5,1,4,0
WH(DL)-2004-L01-A01-004-001,电梯专业,2020/4/17 0:00,沈阳万象城,综合体,22,4,17,1
WH(DL)-2004-L01-B01-000-001,在建专业,2020/4/4 0:00,万科尚都会,在建工程,84,30,40,9
WH(DL)-2004-L01-B01-000-001,水务专业,2020/4/4 0:00,万科尚都会,在建工程,1,0,0,1
WH(DL)-2004-L01-B01-000-001,消防专业,2020/4/4 0:00,万科尚都会,在建工程,1,0,1,0
WH(DL)-2004-L01-B01-000-001,电气专业,2020/4/4 0:00,万科尚都会,在建工程,1,1,0,0
YHSW-2003-J-001-002,其他专业,2020/3/25 0:00,广州项目,水务,10,6,1,3
YHSW-2003-J-001-002,在建专业,2020/3/25 0:00,广州项目,水务,12,7,5,0
YHSW-2003-J-001-002,消防专业,2020/3/25 0:00,广州项目,水务,15,0,15,0
YHSW-2003-J-001-003,其他专业,2020/3/26 0:00,东莞项目,水务,40,39,0,0
YHSW-2003-J-001-003,在建专业,2020/3/26 0:00,东莞项目,水务,5,5,0,0
ZRH(ZB)-000-000-000,消防专业,2020/9/15 0:00,拈花湾景区,景区,130,17,99,14
ZRH(ZB)-000-000-000,电梯专业,2020/9/15 0:00,拈花湾景区,景区,28,8,14,6
ZRH(ZB)-000-000-000,电气专业,2020/9/15 0:00,拈花湾景区,景区,31,6,20,5
ZRH(ZB)-000-000-000-02,消防专业,2020/9/15 0:00,拈花湾景区,景区,71,15,46,10
ZRH(ZB)-000-000-000-02,电梯专业,2020/9/15 0:00,拈花湾景区,景区,28,4,15,9
ZRH(ZB)-000-000-000-02,电气专业,2020/9/15 0:00,拈花湾景区,景区,30,9,18,3
ZRH(ZB)-1805-L01-B01-000-05,其他专业,2020/4/18 0:00,昆山万象汇,综合体,1,0,1,0
ZRH(ZB)-1805-L01-B01-000-05,暖通专业,2020/4/18 0:00,昆山万象汇,综合体,1,0,1,0
ZRH(ZB)-1805-L01-B01-000-05,消防专业,2020/4/18 0:00,昆山万象汇,综合体,42,12,22,8
ZRH(ZB)-1805-L01-B01-000-05,电气专业,2020/4/18 0:00,昆山万象汇,综合体,1,1,0,0
ZRH(ZB)-1805-L01-B01-000-058,其他专业,2020/3/27 0:00,西安体育会展中心,会展,20,4,12,4
